NM_UE,SQ_CANDIDATO,DS_TIPO_BEM_CANDIDATO,VR_BEM_CANDIDATO
VITÓRIA DA CONQUISTA,50000701270,Sala ou conjunto,10000.0
VITÓRIA DA CONQUISTA,50000701272,Depósito bancário em conta corrente no País,2694.42
VITÓRIA DA CONQUISTA,50000701261,Casa,47000.0
VITÓRIA DA CONQUISTA,50000701263,Apartamento,122000.0
VITÓRIA DA CONQUISTA,50000701272,Depósito bancário em conta corrente no País,777.68
VITÓRIA DA CONQUISTA,50000701272,Depósito bancário em conta corrente no País,36.04
VITÓRIA DA CONQUISTA,50000701272,Dinheiro em espécie - moeda nacional,20000.0
VITÓRIA DA CONQUISTA,50000701273,Outros bens imóveis,200000.0
VITÓRIA DA CONQUISTA,50000701274,Apartamento,300000.0
VITÓRIA DA CONQUISTA,50000701274,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",110000.0
VITÓRIA DA CONQUISTA,50000701275,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",38000.0
VITÓRIA DA CONQUISTA,50000701275,Casa,200000.0
VITÓRIA DA CONQUISTA,50000701277,Outros bens imóveis,500000.0
VITÓRIA DA CONQUISTA,50000701280,Casa,33561.81
VITÓRIA DA CONQUISTA,50000701280,Depósito bancário em conta corrente no País,4100.0
VITÓRIA DA CONQUISTA,50000701281,Terreno,55000.0
VITÓRIA DA CONQUISTA,50000701281,Terreno,55000.0
VITÓRIA DA CONQUISTA,50000701281,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",30000.0
VITÓRIA DA CONQUISTA,50000701281,Dinheiro em espécie - moeda nacional,25000.0
VITÓRIA DA CONQUISTA,50000701281,Depósito bancário em conta corrente no País,16.23
VITÓRIA DA CONQUISTA,50000701281,Terreno,55000.0
VITÓRIA DA CONQUISTA,50000701281,Depósito bancário em conta corrente no País,220.97
VITÓRIA DA CONQUISTA,50000701281,Depósito bancário em conta corrente no País,1.42
VITÓRIA DA CONQUISTA,50000701282,Casa,150000.0
VITÓRIA DA CONQUISTA,50000701282,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",10000.0
VITÓRIA DA CONQUISTA,50000701283,Prédio residencial,32260.71
VITÓRIA DA CONQUISTA,50000701283,Apartamento,300000.0
VITÓRIA DA CONQUISTA,50000701279,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",25000.0
VITÓRIA DA CONQUISTA,50000701281,Outros bens imóveis,200000.0
VITÓRIA DA CONQUISTA,50000701281,Outras participações societárias,30000.0
VITÓRIA DA CONQUISTA,50000701519,Apartamento,61681.51
VITÓRIA DA CONQUISTA,50000701519,Apartamento,61681.51
VITÓRIA DA CONQUISTA,50000701519,Apartamento,61681.51
VITÓRIA DA CONQUISTA,50000701519,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",30000.0
VITÓRIA DA CONQUISTA,50000701520,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",20000.0
VITÓRIA DA CONQUISTA,50000701521,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",12000.0
VITÓRIA DA CONQUISTA,50000701525,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",15000.0
VITÓRIA DA CONQUISTA,50000701525,Terreno,50000.0
VITÓRIA DA CONQUISTA,50000701525,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",50000.0
VITÓRIA DA CONQUISTA,50000701525,Casa,80000.0
VITÓRIA DA CONQUISTA,50000701528,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",28000.0
VITÓRIA DA CONQUISTA,50000701532,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",9000.0
VITÓRIA DA CONQUISTA,50000701532,Casa,300000.0
VITÓRIA DA CONQUISTA,50000701534,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",10000.0
VITÓRIA DA CONQUISTA,50000701534,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",12000.0
VITÓRIA DA CONQUISTA,50000701536,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",80000.0
VITÓRIA DA CONQUISTA,50000701536,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",10000.0
VITÓRIA DA CONQUISTA,50000701538,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",30000.0
VITÓRIA DA CONQUISTA,50000701543,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",32000.0
VITÓRIA DA CONQUISTA,50000701798,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",22000.0
