ANO_ELEICAO,NM_UE,DS_CARGO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,NM_MUNICIPIO_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
2020,VITÓRIA DA CONQUISTA,VEREADOR,14014,14,PTB,VITÓRIA DA CONQUISTA,37,MASCULINO,SUPERIOR COMPLETO,PARDA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,13333,13,PT,VITÓRIA DA CONQUISTA,56,MASCULINO,SUPERIOR COMPLETO,PRETA,PROFESSOR DE ENSINO MÉDIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,22038,22,PL,VITÓRIA DA CONQUISTA,41,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,10125,10,REPUBLICANOS,SALVADOR,42,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,CABELEIREIRO E BARBEIRO
2020,VITÓRIA DA CONQUISTA,VEREADOR,65600,65,PC do B,ITAMBÉ,37,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,14888,14,PTB,VITÓRIA DA CONQUISTA,47,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,COBRADOR DE TRANSPORTE COLETIVO
2020,VITÓRIA DA CONQUISTA,VEREADOR,19177,19,PODE,ITAMBÉ,43,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PRETA,VIGILANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,40018,40,PSB,VITÓRIA DA CONQUISTA,43,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,SERVIDOR PÚBLICO MUNICIPAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,14777,14,PTB,VITÓRIA DA CONQUISTA,61,FEMININO,SUPERIOR COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,45555,45,PSDB,JAGUAQUARA,45,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,20444,20,PSC,JAGUAQUARA,45,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SEM INFORMAÇÃO,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,45450,45,PSDB,ITAPETINGA,52,FEMININO,SUPERIOR COMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,70070,70,AVANTE,VITÓRIA DA CONQUISTA,32,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)
2020,VITÓRIA DA CONQUISTA,VEREADOR,19235,19,PODE,VITÓRIA DA CONQUISTA,53,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,20123,20,PSC,ANAGÉ,50,MASCULINO,ENSINO MÉDIO COMPLETO,SEM INFORMAÇÃO,POLICIAL MILITAR
2020,VITÓRIA DA CONQUISTA,VEREADOR,15222,15,MDB,VITÓRIA DA CONQUISTA,57,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,14567,14,PTB,VITÓRIA DA CONQUISTA,52,FEMININO,ENSINO MÉDIO INCOMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,70805,70,AVANTE,ALMENARA,42,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,DONA DE CASA
2020,VITÓRIA DA CONQUISTA,VEREADOR,40100,40,PSB,VITÓRIA DA CONQUISTA,53,MASCULINO,SUPERIOR COMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,19777,19,PODE,ITABUNA,43,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,ENFERMEIRO
2020,VITÓRIA DA CONQUISTA,VEREADOR,70611,70,AVANTE,ITABUNA,40,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,40444,40,PSB,VITÓRIA DA CONQUISTA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
2020,VITÓRIA DA CONQUISTA,VEREADOR,11900,11,PP,TANHAÇU,52,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,65666,65,PC do B,RIBEIRÃO DO LARGO,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,MÚSICO
2020,VITÓRIA DA CONQUISTA,VEREADOR,70789,70,AVANTE,VITÓRIA DA CONQUISTA,30,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS"
2020,VITÓRIA DA CONQUISTA,VEREADOR,25777,25,DEM,VITÓRIA DA CONQUISTA,39,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,28000,28,PRTB,VITÓRIA DA CONQUISTA,42,MASCULINO,SUPERIOR INCOMPLETO,PARDA,"SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS"
2020,VITÓRIA DA CONQUISTA,VEREADOR,28930,28,PRTB,BRUMADO,38,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,11444,11,PP,VITÓRIA DA CONQUISTA,59,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,65164,65,PC do B,VITÓRIA DA CONQUISTA,40,FEMININO,SUPERIOR COMPLETO,PRETA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,20077,20,PSC,JORDÂNIA,36,FEMININO,ENSINO MÉDIO INCOMPLETO,SEM INFORMAÇÃO,DONA DE CASA
2020,VITÓRIA DA CONQUISTA,VEREADOR,20456,20,PSC,IBICARAÍ,38,MASCULINO,ENSINO MÉDIO COMPLETO,SEM INFORMAÇÃO,REPRESENTANTE COMERCIAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,55123,55,PSD,VITÓRIA DA CONQUISTA,53,FEMININO,SUPERIOR COMPLETO,BRANCA,ASSISTENTE SOCIAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,36222,36,PTC,ARACAJU,56,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,22444,22,PL,VITÓRIA DA CONQUISTA,59,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,PREFEITO,28,28,PRTB,ALAGOINHAS,38,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO
2020,VITÓRIA DA CONQUISTA,VEREADOR,20004,20,PSC,VITÓRIA DA CONQUISTA,41,FEMININO,ENSINO MÉDIO COMPLETO,SEM INFORMAÇÃO,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS
2020,VITÓRIA DA CONQUISTA,VEREADOR,45654,45,PSDB,CHÃ GRANDE,35,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,EMPRESÁRIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,22122,22,PL,VITÓRIA DA CONQUISTA,42,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PRETA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,22555,22,PL,ITAPETINGA,65,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,14147,14,PTB,VITÓRIA DA CONQUISTA,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
2020,VITÓRIA DA CONQUISTA,VEREADOR,10190,10,REPUBLICANOS,VITÓRIA DA CONQUISTA,33,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,VIGILANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,70444,70,AVANTE,VITÓRIA DA CONQUISTA,38,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,AGENTE DE SAÚDE E SANITARISTA
2020,VITÓRIA DA CONQUISTA,VEREADOR,11350,11,PP,VITÓRIA DA CONQUISTA,56,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,40180,40,PSB,VITÓRIA DA CONQUISTA,27,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO
2020,VITÓRIA DA CONQUISTA,VEREADOR,45455,45,PSDB,VITÓRIA DA CONQUISTA,40,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
2020,VITÓRIA DA CONQUISTA,VEREADOR,28128,28,PRTB,SÃO PAULO,33,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,45999,45,PSDB,VITÓRIA DA CONQUISTA,59,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,70111,70,AVANTE,FRANCISCO BADARÓ,37,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,DONA DE CASA
2020,VITÓRIA DA CONQUISTA,VEREADOR,51777,51,PATRIOTA,VITÓRIA DA CONQUISTA,28,MASCULINO,SUPERIOR COMPLETO,PRETA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,36006,36,PTC,VITÓRIA DA CONQUISTA,42,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,50222,50,PSOL,SÃO PAULO,47,MASCULINO,SUPERIOR COMPLETO,PRETA,PROFESSOR DE ENSINO MÉDIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,14100,14,PTB,VITÓRIA DA CONQUISTA,62,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,APOSENTADO (EXCETO SERVIDOR PÚBLICO)
2020,VITÓRIA DA CONQUISTA,VEREADOR,10333,10,REPUBLICANOS,TANHAÇU,53,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA
2020,VITÓRIA DA CONQUISTA,VEREADOR,19123,19,PODE,VITÓRIA DA CONQUISTA,66,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,VEREADOR
2020,VITÓRIA DA CONQUISTA,VEREADOR,22200,22,PL,CARATINGA,59,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,15678,15,MDB,VITÓRIA DA CONQUISTA,38,FEMININO,SUPERIOR INCOMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,25789,25,DEM,VITÓRIA DA CONQUISTA,63,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,11222,11,PP,SALVADOR,54,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,65456,65,PC do B,VITÓRIA DA CONQUISTA,46,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,14333,14,PTB,VITÓRIA DA CONQUISTA,44,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,45333,45,PSDB,VITÓRIA DA CONQUISTA,65,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,65100,65,PC do B,VITÓRIA DA CONQUISTA,35,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,MÚSICO
2020,VITÓRIA DA CONQUISTA,VEREADOR,65656,65,PC do B,POÇÕES,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO
2020,VITÓRIA DA CONQUISTA,PREFEITO,17,17,PSL,VITÓRIA DA CONQUISTA,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL MILITAR
